"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"41","a_psu[24]",-0.0487994727549,-0.05567095,0.926871007200654,0.93321152463,-1.5676505,1.4897595,1.00456575410672,3838.27439926474,1511.09916529127
"42","a_psu[25]",0.0250520600345,0.0141917,1.02089989326152,1.03958014272,-1.586854,1.6742815,1.00790111211619,4540.14176336773,1157.238360465
"43","a_psu[26]",0.00610299806,0.00583282,1.02613268018944,0.958152489,-1.697043,1.6781315,1.00312724585689,4225.07297970355,1234.52475437364
"44","a_psu[27]",0.0244314608109,0.01049145,0.994650604007952,0.9826465236,-1.5901115,1.674463,1.00238161289877,3271.15821699367,1147.67770554497
"45","a_psu[28]",-0.002257419797,0.002647685,0.990060373269936,0.976655337,-1.6559435,1.627536,1.00732224411756,5711.0425954871,1319.04283641347
"46","a_psu[29]",-0.0819808710708425,-0.08288415,0.968756223910958,0.93751595721,-1.692121,1.5371095,1.01097749674644,4240.6449215605,1419.69049538033
"47","a_psu[30]",-0.0354685980821,-0.03464505,0.996778824138356,1.0087158207,-1.6763895,1.651247,1.00708485886135,4088.59992203718,1433.9708418622
"48","a_psu[31]",0.0519838844715,0.02766425,1.03983316172265,1.094714775,-1.6092465,1.815018,1.00239146128838,3645.98433120243,1185.44033514295
"49","a_psu[32]",0.004857232855,0.006401625,0.992387734902958,0.987543366075,-1.6240795,1.601361,1.00040982285379,2557.85007679498,1230.51180334764
"50","a_psu[33]",-0.07879892847,-0.07587695,0.990998825869026,0.99313510317,-1.717827,1.550438,1.00017017287916,2975.81880923251,1344.54959676918
"51","a_psu[34]",0.3869972810105,0.39192,1.03543355589186,1.0199924763,-1.3317485,2.0656265,1.00127437636045,3421.50254296299,1358.39460167187
"52","a_psu[35]",0.41219715138,0.399684,1.00870368231497,1.0073332962,-1.244547,2.076068,1.00228555678363,2700.48235601571,1473.44233645038
"53","a_psu[36]",0.092455427295,0.0858529,1.03404036733037,1.06876868196,-1.556352,1.7835535,1.00273260147815,3168.40460265005,1398.93540792128
"54","a_psu[37]",-0.0578214329385,-0.0552548,1.01310186668999,1.02276375222,-1.7166335,1.619821,1.00267444361266,3732.52478466112,1463.1007128887
"55","a_psu[38]",-0.0447941673145,-0.0434528,1.0358997135117,1.03145549472,-1.772277,1.6501935,1.00360576277658,4123.98641710247,1441.11260997234
"56","a_psu[39]",0.05214678096,0.05692135,1.02422574340099,1.02680450439,-1.641974,1.7636755,1.00068056251353,3427.72800628805,1527.29762892088
"57","a_psu[40]",0.13261946504,0.1224805,1.02349539459095,0.9738613773,-1.54408,1.8011295,1.00697518996899,3320.0900664759,1254.99236024906
"58","a_psu[41]",0.0366477003105,0.006169715,1.00315936849864,1.0095201312,-1.6398495,1.724835,1.00149618451782,2484.23195953335,1138.19943218336
"59","a_psu[42]",-0.09955172119665,-0.0765383,1.00271302638322,1.03762103508,-1.778348,1.537497,1.00200763428025,2562.73656851044,1322.88072720904
"60","a_psu[43]",0.246444730934,0.2461235,0.987228222756838,1.0240599894,-1.3904955,1.808975,1.00341275974166,3324.26491774878,1522.4931135738
"61","a_psu[44]",-0.0839540612935,-0.1067775,0.971959544149456,1.0011464064,-1.674746,1.4795385,1.0012301852759,3038.79927713829,1352.50883550227
"62","a_psu[45]",0.1254306325265,0.1245125,0.970627428807155,0.9523243884,-1.4296615,1.722449,1.00064448552175,2353.60097786333,1017.24901315534
"63","a_psu[46]",-0.07198070061,-0.09660955,0.999091771933022,0.9997475733,-1.717392,1.5882685,0.999153735408819,3799.67972822274,1622.54594164896
"64","a_psu[47]",0.080135866091,0.1029585,1.01415333103412,1.0455473112,-1.6294855,1.6738035,1.00136879007937,2791.47213993483,1326.39412792273
"65","a_psu[48]",-0.0045798105565,-0.007395145,0.986563474690362,0.9645751122,-1.662085,1.640722,1.00065315711461,3398.76720787825,1463.01065894932
"66","a_psu[49]",0.011583612085,0.0195503,0.995888300798513,0.96685194102,-1.6468015,1.606489,0.999189339328046,3159.65873539915,1235.02948378335
"67","a_psu[50]",0.09806015328685,0.09783975,1.00108739076173,0.95655609945,-1.5602555,1.7487395,1.00048035480238,3936.76776888992,1128.61242181005
"68","a_psu[51]",-0.046420635459,-0.06580685,1.01700317566997,1.01799192999,-1.730297,1.643765,1.00584067652367,3720.7440903017,1264.51280424388
"69","a_psu[52]",-0.0853658787425,-0.1170945,1.01187941169985,1.0442937729,-1.6467195,1.593141,1.00116173210866,2415.80977646239,1546.78120379995
"70","a_psu[53]",0.04668574433035,0.021681,1.00144732601532,1.0175068974,-1.5930505,1.735788,1.00368950583116,2421.22106260927,1388.83202766163
"71","a_psu[54]",0.1207077258403,0.113742,0.999778049529182,1.0141384302,-1.513219,1.811577,1.00148484084669,2769.60938986451,1503.63617533077
"72","a_psu[55]",-0.01872440379,-0.00187159,0.996353080689846,0.988648963134,-1.646074,1.5999545,1.00120279588638,5074.04210605848,1576.87833823426
"73","a_psu[56]",-0.0325001522,-0.02816225,1.00092515464573,1.04658772575,-1.664465,1.536277,1.00282591556641,4125.65617496691,1193.11389482769
"74","a_psu[57]",-0.044573334882,-0.0242487,1.00342960854533,0.97988636718,-1.6893115,1.607766,1.00497297765136,2714.97312462974,1081.89682623671
"75","a_psu[58]",-0.0558819031509,-0.07383985,0.990664989659393,0.99818735919,-1.6491955,1.6006165,1.00052824384444,5711.37649481711,1442.57041391833
"76","a_psu[59]",-0.03126565555,-0.03489825,1.03526602592726,1.02929542065,-1.7485925,1.696492,1.00291818355671,2818.90632699119,1319.7745286661
"77","a_psu[60]",-0.0569757924235,-0.0573551,1.00832430272167,1.0097113866,-1.7325545,1.64508,1.00561956723785,4263.71064518779,1254.28302181739
"78","a_psu[61]",-0.05297910953,-0.05622195,1.01006918158831,1.0109434272,-1.705691,1.5835995,1.00095698504188,3675.97736569214,1329.20861015444
"79","a_psu[62]",0.1478313094,0.1601025,0.974550133377165,1.0039025598,-1.451468,1.7251935,1.00168719332928,3441.60795510567,1531.84554524714
"80","a_psu[63]",-0.045882971005,-0.05030155,1.00144316625353,0.992808264,-1.697499,1.553273,1.00783654744006,2968.51343511354,1386.76813765503
"81","a_psu[64]",0.1158612899245,0.128265,0.993916399568737,1.0129523502,-1.5173635,1.7596295,1.00221917056312,3853.09884496432,1516.51519002785
"82","a_psu[65]",-0.0441807961895,-0.0491263,1.00172925484944,1.04632374882,-1.6400935,1.621532,1.01408516655221,3493.64938562247,1312.93516726367
"83","a_psu[66]",0.036491596835,0.0405978,0.97771378102286,0.9449254731,-1.575849,1.660586,1.00192570510088,3129.26697612927,1650.47375819384
"84","a_psu[67]",0.085574707871,0.0859978,0.92060405150157,0.92682767142,-1.4453835,1.5767755,1.00154097764842,3691.70676602312,1455.30459662426
"85","a_psu[68]",-0.0391266513,-0.0221761,0.939202197972539,0.9471567861,-1.5958555,1.480412,1.00070095043918,3733.74477781838,1381.71765955886
"86","a_psu[69]",0.5662840333295,0.545988,0.986011941044236,0.9642622836,-0.991361,2.1870215,1.00103125125723,2112.78427673993,1202.04951121479
"87","a_psu[70]",-0.01182624709125,-0.01372645,0.950232134509775,0.9355925061,-1.57464,1.554542,1.00572037400104,3992.10207563913,1135.87747389468
"88","a_psu[71]",-0.0131846179425,-0.0248995,0.998614028298184,1.0067810277,-1.6426525,1.648225,1.00129496514505,3312.46980982806,1503.31984263848
"89","a_psu[72]",0.3749118797055,0.3653215,0.993458314973745,1.0183438251,-1.2397735,2.0336785,1.00208135511287,2833.21747096052,1368.23732378724
"90","a_psu[73]",-0.02722794564655,-0.00648847,1.01097238902893,0.966322311822,-1.717756,1.670535,1.00591419446363,3658.49410608519,1361.63639969859
"91","a_psu[74]",-0.042056216321,-0.0510595,1.04876269822806,1.0495651572,-1.7407705,1.668137,1.01137475002732,4964.79585581098,1239.80645368537
"92","a_psu[75]",0.036446264704,0.0411776,0.998980529827582,0.9868141122,-1.5980795,1.7085415,1.00043810478997,4156.52887464707,1577.50506505349
"93","a_psu[76]",0.03973954938665,0.03261715,1.00484356640603,1.01757680199,-1.5606135,1.711195,1.00111181358227,3749.05447877703,1507.16002852522
"94","a_psu[77]",0.04698829812415,0.0298286,0.99449757300992,1.0144816521,-1.556092,1.7068785,1.00453738240794,2421.53081291665,1480.2849829326
"95","a_psu[78]",0.140451819561,0.1456085,0.988224445470156,0.9666833694,-1.488316,1.777747,1.00140966836548,4989.19054412666,1568.33132200469
"96","a_psu[79]",-0.030861050226,-0.006010885,0.997281054724864,0.995183960001,-1.659324,1.5729035,1.00223325439746,3664.13656137638,1255.81801835645
"97","a_psu[80]",0.045766092514,0.0679344,0.994953325529026,0.9778755168,-1.672458,1.6810115,1.00281504823932,3216.81635897866,1363.80734521353
"98","a_psu[81]",-0.025766728904,-0.02257015,1.00793090328654,1.00182743871,-1.6521545,1.6195025,1.00270185868803,4739.79534186518,1507.74214012501
"99","a_psu[82]",-0.08649177117125,-0.09352525,1.00213904732036,0.9614001243,-1.7608655,1.5451785,1.00595609769953,2600.32774180127,1203.86032069693
"100","a_psu[83]",0.112376517043,0.11068,0.956518749187298,0.9117485916,-1.443751,1.683113,1.00609918163222,3621.53740795319,1119.63943186201
"101","a_psu[84]",-0.0538237861755,-0.0557314,0.966589516323769,0.97336485456,-1.6278935,1.515444,1.00348165036365,3094.79993766855,1640.49789542585
"102","a_psu[85]",0.198490361333,0.203397,0.990437467677488,0.9818696412,-1.4056815,1.810764,1.00168406116708,2189.40901855592,1339.72562773257
"103","a_psu[86]",0.0742815382955,0.0821989,1.02551343980734,0.9930069324,-1.6816355,1.771407,1.00055517936444,2914.53172852333,1105.95580180328
"104","a_psu[87]",-0.039941863539,-0.01489605,0.982965804458865,0.9596565867,-1.681244,1.583458,0.99981751309305,3571.87123432733,1266.88383833851
"105","a_psu[88]",0.0076706464165,-0.003623515,0.989766921621539,0.9380247114,-1.639049,1.62392,1.00312074988645,5157.98100208048,1282.79678425042
"106","a_psu[89]",-0.070944797805,-0.07562235,1.03275412035245,1.03855336809,-1.803036,1.6270555,1.00541668096032,3062.85737406608,1494.23598421937
"107","a_psu[90]",0.10973319583,0.08723155,0.992202670985892,1.0048136175,-1.470182,1.7152255,1.00371171082252,2071.16415434775,1331.37719465109
"108","a_psu[91]",0.044684492576,0.04867615,0.963425654100717,0.96676291089,-1.5666435,1.630418,1.01046954797271,3275.83770812165,1393.43069975248
"109","a_psu[92]",-0.08136595694575,-0.06685865,0.992452359242513,0.9800297346,-1.7136085,1.5051175,1.00462666327396,1901.2506454082,1186.72424835405
"110","a_psu[93]",-0.0019433663285,-0.011206425,0.983544985834799,0.9457564704,-1.5873535,1.641127,1.00368712391266,3939.16878105286,1341.47516192056
"111","a_psu[94]",-0.0626764939085,-0.08262105,0.996064097990501,1.02046535157,-1.6773595,1.620534,1.00185321477442,3970.73076020408,1529.03930136186
"112","a_psu[95]",-0.091246541042,-0.0858462,0.949195479408476,0.91598927238,-1.645085,1.441162,0.999411194134944,3282.52094109831,1396.27129783728
"113","a_psu[96]",0.0113716831655,0.0116829,1.01750066551044,0.9810534699,-1.6155455,1.682403,1.00577038437894,2276.07702619567,1448.9648463539
"114","a_psu[97]",-0.0571704777345,-0.063762,0.973749941703601,0.9603489609,-1.6339755,1.549824,1.00316402700113,3032.35016821524,1411.76686596903
"115","a_psu[98]",-0.04337434088505,-0.04090445,0.999053021225494,1.0193927646,-1.6819065,1.6079035,1.00392628852827,4244.60795060319,1406.82754114812
"116","a_psu[99]",-0.074606682979,-0.0705601,1.01937163651316,1.01188428516,-1.7505015,1.599398,1.0003119757783,4912.55794368788,1260.98690630104
"117","a_psu[100]",-0.0261949634345,-0.03197845,0.968663427580024,0.9909579792,-1.6328615,1.5676245,1.00199325725749,2998.76828198172,1542.58350589948
"118","a_psu[101]",0.0350001143705,0.02218,0.987753695350314,0.9870565173,-1.558222,1.641786,1.00771601323287,4057.12940447748,1482.02459802757
"119","a_psu[102]",0.10525262737,0.108507,0.98945931363084,1.0187656248,-1.504994,1.706759,1.00081688444292,3234.46252369082,1278.36690980856
"120","a_psu[103]",-0.042728497056,-0.0568086,0.997441629087359,1.0159212567,-1.6628335,1.5976075,1.00193849373431,2716.08367308134,1337.85322429053
"121","a_psu[104]",0.03985063475,0.0419044,0.965660227540973,0.94623549846,-1.5555645,1.6058505,1.00537890579418,3775.09331369181,1287.8118623603
"122","a_psu[105]",-0.074663119393,-0.08565495,1.03193730332124,0.97554627807,-1.7437455,1.6404745,1.00313471378285,3658.14768641989,1405.73776403019
"123","a_psu[106]",0.02757465140495,-0.00280198,0.988688155219336,0.9417423309,-1.5790145,1.6074665,1.00088847483741,4807.60196352718,1463.75790753247
