"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"23","a_psu[5]",0.084908039438,0.09201725,0.97917540551725,0.99507256485,-1.55637,1.7301745,0.999865411276988,2805.94861203153,1367.92763409536
"24","a_psu[6]",0.184067524108,0.1821345,0.972454142395103,0.9592473891,-1.4055595,1.831509,1.00079749950892,3289.09242505454,1543.52850881086
"25","a_psu[7]",0.167529324905,0.165524,0.92083185360955,0.9467987382,-1.3281785,1.667973,1.00049379797253,2946.97472300657,1571.65867963452
"26","a_psu[8]",-0.350429132015,-0.3506705,0.952499442498686,0.9625172634,-1.978212,1.175128,0.999366544716229,3673.19930538301,1581.80358904968
"27","a_psu[9]",-0.065501026429035,-0.0642541,0.939656567619634,0.93755116896,-1.575302,1.4503575,1.00097566679709,2849.61518057798,1477.43150101344
"28","a_psu[10]",0.1697735146885,0.1661355,0.836877355884708,0.8647368282,-1.1954195,1.5507115,1.00359617307938,4199.53755017685,1376.31760198511
"29","a_psu[11]",-0.142545114517495,-0.1476115,0.971874949019753,0.9696315195,-1.754595,1.456794,1.0082896833814,3478.59256347589,1223.42011507058
"30","a_psu[12]",0.2191435574,0.215234,0.95381858303496,0.9427682901,-1.367281,1.781719,1.00667734619113,3247.91772359274,1183.51069250898
"31","a_psu[13]",-0.0623809355325,-0.0649826,0.931865316365528,0.91325283756,-1.626942,1.4286145,1.00026456394025,3177.19948167805,1340.756638177
"32","a_psu[14]",-0.1653334767965,-0.163459,0.99313445456376,1.0304107065,-1.78346,1.4181185,1.00318263857613,3644.69566015757,1282.2423519179
"33","a_psu[15]",-0.31651074787,-0.3137235,0.94455809935306,0.9592110654,-1.8700905,1.241471,1.00390321419481,4571.88493224066,1469.98822330174
"34","a_psu[16]",-0.2737921201535,-0.2589355,0.970149426891387,0.9830127258,-1.888848,1.2891795,1.00113877954092,2249.63638456772,1302.79023446763
"35","a_psu[17]",-0.132186016868,-0.1352835,0.925911892261156,0.8575958853,-1.735148,1.369328,1.00085437291951,3945.26186105968,1215.8952707689
"36","a_psu[18]",0.1081421765945,0.1224435,0.913567514946346,0.9244774539,-1.47384,1.53679,1.00693137131793,3284.30078026347,1510.23329399201
"37","a_psu[19]",-0.121008149594,-0.118135,1.01671447792407,0.9932671287,-1.75531,1.52142,0.999145273735005,3767.44817418529,1550.50258475707
"38","a_psu[20]",-0.2400730411465,-0.235125,0.964841322292257,0.9452360778,-1.8192975,1.358362,0.999170073387805,3090.64890424637,1281.86509089336
"39","a_psu[21]",-0.1046864721435,-0.1010335,0.992316713484486,0.9968535381,-1.733334,1.566928,1.00553296335631,3010.07825414091,1155.78583072668
"40","a_psu[22]",-0.289314855409,-0.283441,0.963821002637854,0.9343322961,-1.861084,1.2879845,1.00093927863471,4909.98102054749,1221.07949425777
"41","a_psu[23]",-0.1483697324005,-0.1245885,1.01348284157877,1.0442411406,-1.8336895,1.5110345,1.00465398181009,4733.27204826002,1049.56376776179
"42","a_psu[24]",-0.159706370605,-0.1626235,1.00618764926327,1.0121917764,-1.8263305,1.4493585,0.999853434370115,4885.39095594864,1359.79084688816
"43","a_psu[25]",-0.0105080401955,-0.0372375,0.943174325641706,0.9008529642,-1.5615195,1.600842,1.00129291370572,3688.54582933867,1464.64632572016
"44","a_psu[26]",-0.257182117963,-0.2601615,0.950013904700518,0.9212186991,-1.8704415,1.3289335,1.00166068533264,2979.30662731824,1685.2659796283
"45","a_psu[27]",0.0051272712055,0.0133421,1.01078278993061,0.95618270664,-1.724712,1.6986805,1.00320763139516,4419.94598328014,1333.19308304031
"46","a_psu[28]",-0.2814634878335,-0.280622,0.974277851745806,1.001340627,-1.884853,1.318122,1.00300863407965,2695.35853893139,1537.218496966
"47","a_psu[29]",-0.262331545975,-0.246992,0.994817400063796,0.971036283,-1.8890125,1.355075,1.00099569722812,3467.81559002177,1360.19040775408
"48","a_psu[30]",0.036134882554,0.0159881,1.01081589693728,0.9811216695,-1.6237085,1.691044,1.00669257462126,5205.71535962124,1033.76359376904
"49","a_psu[31]",-0.1613526987431,-0.1509405,0.933379108869996,0.9538173666,-1.718817,1.3290715,1.00249432125334,3192.81306223997,1354.29954297653
"50","a_psu[32]",0.64533166393,0.6401395,0.903596225770174,0.88595149986,-0.87474775,2.106762,1.00273552608618,2246.31886698137,1249.84206651704
"51","a_psu[33]",-0.100385897447,-0.106265,0.914601047677336,0.8919210405,-1.605878,1.414689,1.00231039240043,4286.34537832083,1414.16557373643
"52","a_psu[34]",-0.043790050755,-0.01668985,0.807453812310752,0.832828311,-1.371785,1.2094925,1.00370518186816,3669.57062479633,1341.59110552148
"53","a_psu[35]",-0.0179197938875,-0.0011142975,0.965258342237261,0.9515311974,-1.621063,1.59795,1.00097667921433,3480.60251773619,1540.2195756168
"54","a_psu[36]",-0.28094182507,-0.292055,0.976251714724277,0.970532199,-1.9068425,1.3067935,1.00010176711406,3421.62843603476,1400.27078318148
"55","a_psu[37]",-0.2651134482505,-0.246915,0.979434129274028,1.0105275579,-1.822525,1.3479755,1.00242697894918,4568.32739774986,1506.47551774366
"56","a_psu[38]",-0.1121585059205,-0.107115,1.00703945637875,1.0227456645,-1.7494695,1.502624,1.00154624462416,3733.60712149352,1497.72299387017
"57","a_psu[39]",-0.0564589257245,-0.06526345,0.980466132094091,0.9756427212,-1.628636,1.627734,1.00003296337159,2628.18410209939,1391.96053104592
"58","a_psu[40]",-0.0807765235925,-0.0619889,0.936581747002122,0.92699031264,-1.6489675,1.4202565,0.999553030029995,2734.12277580699,1410.57064468501
"59","a_psu[41]",0.91416420668,0.927529,0.801545823191113,0.7942977609,-0.3945495,2.2339945,0.999713813953455,3221.2640838056,1439.42554761649
"60","a_psu[42]",0.028992674952,0.0332984,1.00823180390921,1.0256789886,-1.63736,1.6856295,1.00070506054397,3373.030667172,1308.41184985325
"61","a_psu[43]",-0.0062460595495,-0.02170115,0.962335073690424,0.9202490787,-1.5870235,1.533532,1.0009362893779,2383.16273049882,1224.85616118177
"62","a_psu[44]",-0.2201167651845,-0.2468295,0.932422527691974,0.9525890325,-1.7031795,1.3013315,1.00153706440034,5590.95110945858,1572.7850983613
"63","a_psu[45]",-0.307157225997,-0.334669,0.966761999237982,0.9238273338,-1.941025,1.3294385,1.0007498227856,3959.9279052869,1241.31850734775
"64","a_psu[46]",-0.223033147118,-0.223704,0.937292577674716,0.8951064066,-1.7663475,1.312906,0.999188735383076,3838.08680666113,1287.27139852711
"65","a_psu[47]",0.422553203907,0.43242,0.973010632598851,0.990643668,-1.0908315,2.004936,1.00309361403351,3276.12347982741,1444.34465781053
"66","a_psu[48]",-0.2086767415835,-0.227075,0.961971243844296,0.914363898,-1.757432,1.3886035,1.00092682448067,4654.9967860865,1356.9439560531
"67","a_psu[49]",-0.227487430048,-0.2252555,0.992122979084282,0.9835353423,-1.8107395,1.34375,1.0088495780624,3677.26656062455,1313.95493093751
"68","a_psu[50]",-0.425516312669,-0.4120185,0.91972504264415,0.9109932069,-1.9216135,1.0775385,1.00301749756584,3935.19260359589,1407.85471178783
"69","a_psu[51]",-0.127532145874,-0.1507585,1.03919235987839,1.0713230535,-1.827511,1.608528,1.0043928560605,2722.94757794536,1329.34488799746
"70","a_psu[52]",-0.29983835784195,-0.287748,0.98125309372321,0.983504949,-1.8781875,1.3073565,1.00368647855302,4878.79275784174,1350.54558590197
"71","a_psu[53]",-0.2654678848387,-0.2645705,0.987832059278401,0.9783091773,-1.8986025,1.3463885,1.00298864087652,3273.37739522643,1378.87069374276
"72","a_psu[54]",0.33874144248,0.3449305,0.880414319255715,0.8954970717,-1.1415195,1.768986,1.00277420391479,2829.5447020505,1166.9827928728
"73","a_psu[55]",0.78433401891,0.7829525,0.935223361895567,0.8939640633,-0.797435,2.3205025,1.00199717339867,3554.07207899425,1425.89350893298
"74","a_psu[56]",-0.11046995263,-0.110551,0.981687558614444,0.9940262199,-1.74015,1.4923315,1.00240390831132,5580.35658587847,1602.78040248765
"75","a_psu[57]",0.0844544890225,0.07390995,0.906694495056972,0.96736677387,-1.4079275,1.518685,1.00076246613771,4103.69968972113,1391.69278599819
"76","a_psu[58]",0.0710340448375,0.0782857,0.941737772425264,0.94259512242,-1.4847635,1.615062,1.00007892343141,2956.00662962509,1555.01955910411
"77","a_psu[59]",0.1128115034465,0.11554,0.994524553249188,0.9812135907,-1.55748,1.7545405,1.00234816756825,3370.56072885856,1336.5788656844
"78","a_psu[60]",-0.1439986133855,-0.1605365,0.995489140711343,0.9885294804,-1.8049405,1.457896,1.00877395896372,5876.91229671212,1252.14701386665
